ID,Comment Text
401,"ini lah gw selalu bilang kesiapapun, jangan normalisasi orang dewasa pacaran sama minor, pasti kena grooming, kasian kah udah begini? yang rugi siapa? jelas ceweknya"
402,ما أحط لوم عليه صراحة لأنو لو كانت هي بعقلها في هداك الوقت ماكانت واعدته و هي قاصر يمكن كمان ماكانو يتواعدون بس أصدقاء و نحن ماسمعنى تصريحات لهلء لذلك لازم مانحكم من رأي شخص واحد و جهة نظر شخص واحد
403,تعتبر على عمر 15 طفله يعني هو العاقل في العلاقه فيكون هو الملام
404,ele é meu ator favorito... não acredito
405,aktor indo ada juga yg begini tapi fansx malah dukung 🤦🤣🤣🤣
406,kalo di indo nih ada pemain djs 😭
407,E adivinha qual idade ela tinha quando ele terminou com ela? kk
408,"Nada le costaba a kim soo hyun apoyar a kim Sae ron ya que era su agencia quien le estaba cobrando el dinero, tal vez con un poco más de empatía se hubiese evitado su muert 😕"
409,bişey dicem tek adam suçlu olmuyor ki kızda kendinden büyük adamla neden sevgili oluyor
410,Está comprobado que anduvieron desde los 15 o es lo que escuchan de chismes ? Las fotos de qué año son ? Solo buscan un culpable .
